ts,regime,A_sig,A_pnl,B_sig,B_pnl,C_sig,C_pnl,srcA,srcB,srcC,n,conf
1781647200,flat,F,,F,,F,,charon_only,cbr_only,blended,45,0.5234
1781650800,flat,F,,S,0.1421,F,,charon_only,cbr_only,blended,45,0.5675
1781654400,flat,F,,S,2.0281,F,,charon_only,cbr_only,blended,50,0.5224
1781658000,flat,F,,S,2.1833,F,,charon_only,cbr_only,blended,34,0.4472
1781661600,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.5006
1781665200,flat,F,,S,2.2568,F,,charon_only,cbr_only,blended,50,0.5417
1781668800,flat,F,,F,,F,,charon_only,cbr_only,cbr_only,50,0.6134
1781672400,flat,F,,S,1.9783,F,,charon_only,cbr_only,blended,50,0.5165
1781676000,flat,F,,S,1.5385,F,,charon_only,cbr_only,blended,50,0.5699
1781679600,flat,F,,S,1.1969,F,,charon_only,cbr_only,blended,50,0.5397
1781683200,flat,F,,S,0.8907,F,,charon_only,cbr_only,blended,42,0.4236
1781686800,flat,F,,S,1.4807,F,,charon_only,cbr_only,blended,50,0.4841
1781690400,flat,F,,S,1.1408,S,1.1408,charon_only,cbr_only,blended,50,0.4372
1781694000,flat,F,,S,1.0211,S,1.0211,charon_only,cbr_only,blended,50,0.4518
1781697600,flat,F,,S,0.7155,F,,charon_only,cbr_only,blended,45,0.4413
1781701200,flat,F,,F,,F,,charon_only,cbr_only,blended,45,0.4514
1781704800,flat,F,,F,,F,,charon_only,cbr_only,blended,46,0.4422
1781708400,flat,L,-2.645,L,-2.645,L,-2.645,charon_only,cbr_only,blended,41,0.4168
1781712000,flat,L,-2.9691,L,-2.9691,L,-2.9691,charon_only,cbr_only,blended,50,0.4142
1781715600,flat,F,,F,,F,,charon_only,cbr_only,blended,45,0.4817
1781719200,flat,F,,F,,F,,charon_only,cbr_only,blended,47,0.2772
1781722800,flat,F,,F,,F,,charon_only,cbr_only,blended,35,0.2929
1781726400,flat,F,,S,3.1047,F,,charon_only,cbr_only,blended,50,0.3732
1781730000,flat,F,,S,2.3429,S,2.3429,charon_only,cbr_only,blended,50,0.3592
1781733600,flat,F,,S,2.5345,S,2.5345,charon_only,cbr_only,blended,41,0.368
1781737200,flat,F,,S,2.691,S,2.691,charon_only,cbr_only,blended,50,0.4091
1781740800,flat,F,,S,2.2534,F,,charon_only,cbr_only,blended,50,0.3677
1781744400,flat,F,,S,2.1661,S,2.1661,charon_only,cbr_only,blended,50,0.3754
1781748000,flat,F,,S,2.556,S,2.556,charon_only,cbr_only,blended,50,0.455
1781751600,flat,F,,S,2.0732,S,2.0732,charon_only,cbr_only,blended,50,0.4434
1781755200,flat,F,,S,1.3486,S,1.3486,charon_only,cbr_only,blended,50,0.4116
1781758800,flat,F,,S,1.422,S,1.422,charon_only,cbr_only,blended,50,0.3398
1781762400,flat,F,,S,1.5565,F,,charon_only,cbr_only,blended,50,0.3415
1781766000,flat,F,,S,2.2321,F,,charon_only,cbr_only,blended,49,0.3512
1781769600,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.3976
1781773200,flat,F,,S,2.622,F,,charon_only,cbr_only,blended,50,0.4236
1781776800,flat,F,,S,1.9903,S,1.9903,charon_only,cbr_only,blended,50,0.3621
1781780400,flat,F,,S,1.5887,F,,charon_only,cbr_only,blended,50,0.3795
1781784000,flat,F,,S,2.6153,F,,charon_only,cbr_only,blended,50,0.3968
1781787600,flat,F,,S,2.0568,F,,charon_only,cbr_only,blended,50,0.4138
1781791200,flat,F,,S,2.1355,F,,charon_only,cbr_only,blended,49,0.4382
1781794800,flat,F,,S,-0.3626,F,,charon_only,cbr_only,blended,29,0.2393
1781798400,trend_down,F,,F,,F,,charon_only,cbr_only,blended,26,0.1763
1781802000,trend_down,S,-0.4578,S,-0.4578,S,-0.4578,charon_only,cbr_only,blended,40,0.2793
1781805600,trend_down,F,,F,,F,,charon_only,cbr_only,blended,35,0.2584
1781809200,trend_down,F,,F,,F,,charon_only,cbr_only,blended,45,0.3568
1781812800,trend_down,F,,F,,F,,charon_only,cbr_only,blended,38,0.3007
1781816400,trend_down,F,,L,-0.0989,F,,charon_only,cbr_only,blended,38,0.3051
1781820000,trend_down,F,,F,,F,,charon_only,cbr_only,blended,41,0.317
1781823600,trend_down,F,,L,0.1414,F,,charon_only,cbr_only,blended,36,0.2949
1781827200,trend_down,F,,F,,F,,charon_only,cbr_only,blended,46,0.3168
1781830800,trend_down,F,,S,-0.462,F,,charon_only,cbr_only,blended,29,0.2629
1781834400,trend_down,F,,F,,F,,charon_only,cbr_only,blended,27,0.1959
1781838000,trend_down,F,,F,,F,,charon_only,cbr_only,blended,48,0.3148
1781841600,trend_down,F,,F,,F,,charon_only,cbr_only,blended,39,0.2987
1781845200,trend_down,F,,F,,F,,charon_only,cbr_only,blended,38,0.2783
1781848800,trend_down,F,,F,,F,,charon_only,cbr_only,blended,27,0.2144
1781852400,trend_down,F,,F,,F,,charon_only,cbr_only,blended,28,0.1924
1781856000,trend_down,F,,S,-1.4942,F,,charon_only,cbr_only,blended,20,0.125
1781859600,trend_down,F,,F,,F,,charon_only,cbr_only,blended,35,0.2689
1781863200,trend_down,F,,F,,F,,charon_only,cbr_only,blended,33,0.2569
1781866800,trend_down,F,,S,-1.8862,F,,charon_only,cbr_only,blended,34,0.2561
1781870400,trend_down,F,,S,-1.4134,F,,charon_only,cbr_only,blended,37,0.2996
1781874000,trend_down,L,0.229,S,-0.429,F,,charon_only,cbr_only,blended,21,0.1153
1781877600,trend_down,L,0.7506,L,0.7506,L,0.7506,charon_only,cbr_only,blended,17,0.0734
1781881200,trend_down,L,0.6288,F,,L,0.6288,charon_only,cbr_only,blended,16,0.0632
1781884800,trend_down,F,,F,,F,,charon_only,cbr_only,blended,16,0.0651
1781888400,flat,F,,L,0.6233,F,,charon_only,cbr_only,blended,50,0.5234
1781892000,flat,F,,L,0.356,F,,charon_only,cbr_only,blended,46,0.5087
1781895600,flat,F,,L,1.373,F,,charon_only,cbr_only,blended,45,0.511
1781899200,flat,F,,L,1.3388,L,1.3388,charon_only,cbr_only,blended,50,0.5691
1781902800,flat,F,,F,,F,,charon_only,cbr_only,blended,46,0.5467
1781906400,flat,F,,L,0.7204,L,0.7204,charon_only,cbr_only,cbr_only,50,0.6178
1781910000,flat,F,,L,0.3123,L,0.3123,charon_only,cbr_only,cbr_only,50,0.6232
1781913600,flat,F,,L,0.5391,F,,charon_only,cbr_only,blended,50,0.5254
1781917200,flat,F,,L,0.4343,L,0.4343,charon_only,cbr_only,blended,46,0.474
1781920800,flat,F,,L,0.9607,F,,charon_only,cbr_only,blended,50,0.5151
1781924400,flat,F,,L,1.1528,F,,charon_only,cbr_only,blended,50,0.5713
1781928000,flat,F,,L,1.0237,F,,charon_only,cbr_only,blended,50,0.5462
1781931600,flat,F,,L,0.8673,L,0.8673,charon_only,cbr_only,blended,50,0.442
1781935200,flat,F,,L,0.6897,L,0.6897,charon_only,cbr_only,blended,50,0.4919
1781938800,trend_down,F,,F,,F,,charon_only,cbr_only,charon_only,0,0.0
1781942400,flat,F,,L,1.4895,F,,charon_only,cbr_only,blended,50,0.5289
1781946000,flat,F,,L,0.7393,F,,charon_only,cbr_only,blended,50,0.5476
